NAME,SPECS,PRICE,RATING
"Samsung Galaxy S10 (Prism White, 512 GB)","8 GB RAM , 512 GB ROM , Expandable Upto 512 GB15.49 cm (6.1 inch) Quad HD+ Display16MP + 12MP , 10MP Front Camera3400 mAh Lithium-ion BatteryExynos 9 9820 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",76900,4.1
Samsung Guru GT,"153 MB RAM , 153 MB ROM ,3.81 cm (1.5 inch) Display800 mAh Battery0 0 0 0 Processor Processor1 Year Manufacturer Warranty",1399,4
"Samsung Galaxy A30 (Red, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) FHD+ Display16MP + 5MP , 16MP Front Camera4000 mAh Lithium-ion BatteryExynos 7904 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",17990,4
"Samsung Galaxy A7 (Gold, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB15.24 cm (6 inch) FHD+ Display24MP + 5MP + 8MP , 24MP Front Camera3300 mAh Lithium-ion BatterySamsung Exynos Octa Core Processor (2.2 GHz) ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",15990,4.1
"Samsung Galaxy A7 (Blue, 128 GB)","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB15.24 cm (6 inch) FHD+ Display24MP + 5MP + 8MP , 24MP Front Camera3300 mAh Lithium-ion BatterySamsung Exynos Octa Core Processor (2.2 GHz) ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",19990,4
"Samsung Galaxy S9 (Lilac Purple, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 400 GB14.73 cm (5.8 inch) Quad HD+ Display12MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 9810 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",57900,4.1
Samsung Metro 313,"512 MB RAM , 2.27 MB ROM ,5.08 cm (2 inch) VGA Display0.3MP Rear Camera1000 mAh Battery1 Year Manufacturer Warranty",2149,4
"Samsung Galaxy J6 (Gold, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 256 GB14.22 cm (5.6 inch) HD+ Display13MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 7870 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",10490,4.1
Samsung Guru Music 2 SM-B310E,Expandable Upto 16 GB5.08 cm (2 inch) QVGA Display0MP Front Camera800 mAh Battery0 0 0 208MHz Processor1 Year Manufacturer's Warranty,1625,4
"Samsung Galaxy A8 Plus (Gold, 64 GB)","6 GB RAM , 64 GB ROM ,15.24 cm (6 inch) Display16MP Rear Camera3500 mAh Battery1 Year Warranty",19960,4.1
"Samsung Galaxy A9 (Lemonade Blue, 128 GB)","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.0 cm (6.3 inch) FHD+ Display24MP + 10, 5, 8MP , 24MP Front Camera3800 mAh Lithium-ion BatteryQualcomm Snapdragon 660 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",26990,4
"Samsung Galaxy J4 (Black, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 256 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera , 5MP Front Camera3000 mAh BatteryExynos 7570 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9800,4
"Samsung Galaxy S8 Plus (Coral Blue, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 256 GB15.75 cm (6.2 inch) Quad HD+ Display12MP Rear Camera , 8MP Front Camera3500 mAh BatteryExynos 8895 Octa Core 2.3GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",53990,4
Samsung Metro 350,"46 MB ROM ,5.59 cm (2.2 inch) QVGA Display2MP Rear Camera1200 mAh Battery1 Year Manufacturer Warranty",3007,4.1
"Samsung Galaxy J5 Prime (Gold, 16 GB)","2 GB RAM , 16 GB ROM , Expandable Upto 256 GB12.7 cm (5 inch) HD Display13MP Rear Camera , 5MP Front Camera2400 mAh Li-Ion BatteryExynos 7570 Quad Core 1.4GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",14500,4.1
"Samsung Galaxy S3 Neo (Marble White, 16 GB)","1.5 GB RAM , 16 GB ROM , Expandable Upto 64 GB12.19 cm (4.8 inch) HD Display8MP Rear Camera , 1.9MP Front Camera2100 mAh Li-ion BatteryCortex-A7 Processor1 Year for Mobile & 6 Months for Accessories",17995,4
"Samsung Galaxy J7 Prime (Gold, 16 GB)","3 GB RAM , 16 GB ROM , Expandable Upto 256 GB13.97 cm (5.5 inch) Full HD Display13MP Rear Camera , 8MP Front Camera3300 mAh BatteryExynos 7870 Octa Core 1.6GHz Processor1 Year Manufacturer Warranty",11990,4
"Samsung Galaxy Note 4 (Charcoal Black, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 128 GB14.48 cm (5.7 inch) Quad HD Display16MP Rear Camera , 3.7MP Front Camera3220 mAh Battery1 Year Manufacturer Warranty",24999,4.1
Samsung Metro 350,"32 MB ROM , Expandable Upto 16 GB6.1 cm (2.4 inch) QVGA Display2MP Rear Camera1200 mAh Battery1 Year Manufacturer Warranty",3062,4
Samsung Metro 313,"4 MB RAM , 2.27 MB ROM ,5.16 cm (2.03 inch) Display0.3MP Rear Camera1000 mAh Battery1 Year Manufacturer Warranty",2149,4.5
Samsung Metro 350,"32 MB ROM , Expandable Upto 16 GB6.1 cm (2.4 inch) QVGA Display2MP Rear Camera , 0MP Front Camera1200 mAh Battery1 Year Manufacturer Warranty",3013,4
"Samsung Galaxy J2-2017 (Metallic gold, 8 GB)","1 GB RAM , 8 GB ROM , Expandable Upto 128 GB11.94 cm (4.7 inch) Display5MP Rear Camera , 2MP Front Camera2000 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",6000,4
Samsung Guru E1282,Expandable Upto 4 GB4.32 cm (1.7 inch) QVGA Display1000 mAh Li-Ion Battery1 Year for Mobile & 6 Months for Accessories,2240,4
"Samsung Galaxy J2 Pro (Black, 16 GB)","2 GB RAM , 16 GB ROM ,12.7 cm (5 inch) Display8MP Rear Camera2600 mAh BatterySpreadtrum Quad-Core 1.5GHz Processor1 Year for Mobile & 6 Months Accessories Warranty",10480,4.1
"Samsung Galaxy J2-2017 (Absolute black, 8 GB)","1 GB RAM , 8 GB ROM , Expandable Upto 128 GB11.94 cm (4.7 inch) Display5MP Rear Camera , 2MP Front Camera2000 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",6000,4
"Samsung Galaxy A9 (Caviar Black, 128 GB)","8 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.0 cm (6.3 inch) FHD+ Display24MP + 5MP + 10MP +8MP , 24MP Front Camera3800 mAh Lithium-ion BatteryQualcomm Snapdragon 660 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",32900,4.1
"Samsung Galaxy J4 Plus (Gold, 32 GB)","2 GB RAM , 32 GB ROM , Expandable Upto 512 GB15.24 cm (6 inch) HD+ Display13MP Rear Camera , 5MP Front Camera3300 mAh Lithium-ion BatteryQualcomm Snapdragon SD425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9499,4
"Samsung Z4 (Gold, 8 GB)","1 GB RAM , 8 GB ROM , Expandable Upto 128 GB11.43 cm (4.5 inch) WVGA Display5MP Rear Camera , 5MP Front Camera2050 mAh BatterySpreadtrum Quad Core 1.5GHz ProcessorBrand Warranty of 1 Year",6190,4.1
"Samsung Galaxy A50 (Black, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) FHD+ Display25MP + 5MP + 8MP , 25MP Front Camera4000 mAh Lithium-ion BatteryExynos 9610 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",18490,4
"Samsung Galaxy A50 (Blue, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) FHD+ Display25MP + 5MP + 8MP , 25MP Front Camera4000 mAh Lithium-ion BatteryExynos 9610 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",18490,4
"Samsung Galaxy S8 Plus (Midnight Black, 128 GB)","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB15.75 cm (6.2 inch) Quad HD+ Display12MP Rear Camera , 8MP Front Camera3500 mAh BatteryExynos 8895 Octa Core 2.3GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",61500,4
Samsung Metro 350,"46 MB RAM , 64 MB ROM ,5.59 cm (2.2 inch) QVGA Display2MP Rear Camera1200 mAh Battery1 Year Manufacturer Warranty",3200,3
Samsung B350,"32 MB RAM ,7.11 cm (2.8 inch) HVGA Display2MP Rear Camera1200 mAh Battery1 Year Manufacturer Warranty",3000,4.1
"Samsung Galaxy Note 8 (Midnight Black, 64 GB)","6 GB RAM , 64 GB ROM , Expandable Upto 256 GB16.0 cm (6.3 inch) Quad HD+ Display12MP + 12MP , 8MP Front Camera3300 mAh Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Batteries from the Date of Purchase.",36990,4
"Samsung Galaxy A30 (White, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) FHD+ Display16MP + 5MP , 16MP Front Camera4000 mAh Lithium-ion BatteryExynos 7904 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",15490,4
"Samsung Galaxy J2 2018 (Pink, 16 GB)","2 GB RAM , 16 GB ROM , Expandable Upto 256 GB12.7 cm (5 inch) Display8MP Rear Camera , 5MP Front Camera2600 mAh BatterySnapdragon 425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",6799,4.1
"Samsung Galaxy J7 Nxt (Gold, 16 GB)","2 GB RAM , 16 GB ROM , Expandable Upto 256 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera , 5MP Front Camera3000 mAh BatteryExynos Octa-Core 1.6 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",10990,4
"Samsung Galaxy Note 9 (Ocean Blue, 512 GB)","8 GB RAM , 512 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) Quad HD+ Display12MP + 12MP , 8MP Front Camera4000 mAh Lithium-ion BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",77900,4
"Samsung Galaxy J4 (Gold, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 256 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera , 5MP Front Camera3000 mAh BatteryExynos 7570 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9990,4
"Samsung Galaxy Note 9 (Ocean Blue, 128 GB)","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) Quad HD+ Display12MP + 12MP , 8MP Front Camera4000 mAh Lithium-ion BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",67900,4.1
"Samsung Galaxy S9 Plus (Coral Blue, 64 GB)","6 GB RAM , 64 GB ROM , Expandable Upto 400 GB15.75 cm (6.2 inch) Quad HD+ Display12MP + 12MP , 8MP Front Camera3500 mAh BatteryExynos 9810 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",57900,4
